year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2022,Air Force,Mountain West,Mountain,9.9,13,10,3,0,8,5,3,0,7,6,1,0,4,2,2,0
2022,Akron,Mid-American,East,1.5,13,2,10,0,9,1,7,0,5,1,4,0,8,1,6,0
2022,Alabama,SEC,West,10.5,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2022,Appalachian State,Sun Belt,East,7.1,12,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,Arizona,Pac-12,,4,12,5,7,0,9,3,6,0,7,3,4,0,5,2,3,0
2022,Arizona State,Pac-12,,4.3,12,3,9,0,9,2,7,0,6,2,4,0,6,1,5,0
2022,Arkansas,SEC,West,8.5,13,6,6,0,8,3,5,0,7,4,3,0,4,2,2,0
2022,Arkansas State,Sun Belt,West,4,12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
2022,Army,FBS Independents,,7.1,12,6,6,0,1,1,0,0,6,4,2,0,4,1,3,0
2022,Auburn,SEC,West,6.7,12,5,7,0,8,2,6,0,8,5,3,0,4,0,4,0
2022,Ball State,Mid-American,West,3.7,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2022,Baylor,Big 12,,7.4,13,6,7,0,9,4,5,0,6,3,3,0,6,3,3,0
2022,Boise State,Mountain West,Mountain,8.6,14,9,4,0,9,8,1,0,7,5,2,0,6,4,2,0
2022,Boston College,ACC,Atlantic,3.1,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2022,Bowling Green,Mid-American,East,4.8,13,6,7,0,8,5,3,0,6,3,3,0,6,3,3,0
2022,Buffalo,Mid-American,East,6.1,14,7,6,0,9,5,3,0,6,3,2,0,7,3,4,0
2022,BYU,FBS Independents,,6.5,13,8,5,0,2,0,2,0,6,4,2,0,5,3,2,0
2022,California,Pac-12,,3.7,12,4,8,0,9,2,7,0,7,4,3,0,5,0,5,0
2022,Central Michigan,Mid-American,West,4.4,12,4,8,0,8,3,5,0,6,2,4,0,6,2,4,0
2022,Charlotte,Conference USA,,2.4,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2022,Cincinnati,American Athletic,,6.5,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
2022,Clemson,ACC,Atlantic,11,14,11,3,0,9,9,0,0,7,6,1,0,4,3,1,0
2022,Coastal Carolina,Sun Belt,East,6.1,13,9,3,0,9,6,3,0,7,6,1,0,5,3,2,0
2022,Colorado,Pac-12,,1,12,1,11,0,9,1,8,0,6,1,5,0,6,0,6,0
2022,Colorado State,Mountain West,Mountain,4,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0
2022,Connecticut,FBS Independents,,6.3,13,6,6,0,0,0,0,0,6,5,1,0,6,1,5,0
2022,Duke,ACC,Coastal,7.4,13,9,4,0,8,5,3,0,6,5,1,0,6,3,3,0
2022,East Carolina,American Athletic,,7.4,13,7,5,0,8,4,4,0,7,4,3,0,4,2,2,0
2022,Eastern Michigan,Mid-American,West,6.4,13,9,4,0,8,5,3,0,6,3,3,0,6,5,1,0
2022,Florida,SEC,East,6.3,13,6,7,0,8,3,5,0,7,5,2,0,4,1,3,0
2022,Florida Atlantic,Conference USA,,6.6,12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
2022,Florida International,Conference USA,,2.5,12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
2022,Florida State,ACC,Atlantic,9.5,13,10,3,0,8,5,3,0,7,5,2,0,4,3,1,0
2022,Fresno State,Mountain West,West,8.4,14,9,4,0,9,8,1,0,6,5,1,0,7,4,3,0
